Name,Price,Rating
"Apple MacBook Air 13.3 inch Laptop - Space Gray, M1 Chip, 8GB RAM, 256GB storage",699.00,4.7
HP 15.6 inch Laptop Intel Processor N200 4GB RAM 128GB UFS Scarlet Red (12-mo. Microsoft 365 included),219.00,4
HP Stream 14 inch Laptop Intel Processor N4102 4GB RAM 64GB eMMC Pink (12-mo. Microsoft 365 included),199.00,3.8
"Samsung Chromebook 4, 11.6"", 4GB, 64GB HD Laptop Computer, Platinum Titan",159.00,4.2
"Restored Dell Optiplex 7020 Desktop Tower Computer, Intel Core i5, 16GB RAM, 2TB HD, DVD-ROM, Windows 10 Home 64Bit, Black (Refurbished)",167.00,3.6
HP Stream 14 inch Laptop Intel Processor N4102 4GB RAM 64GB eMMC Pink (12-mo. Microsoft 365 included),199.00,3.8
"Restored Dell OptiPlex 3020 Desktop Tower Computer Bundle with 19"" Monitor, Intel Core i5, 8GB RAM, 250GB HD, DVD-ROM, Windows 10 Home, Black (Refurbished)",107.45,4
"Dell OptiPlex Desktop PC Bundle w/ RGB Lighting | Ultra-Fast Intel Core i5 | 16GB RAM | 512GB SSD | DVD | WiFi + Bluetooth | Webcam | Dual 22"" LCD Monitors | Windows 10 Computer",299.99,3.4
"Restored HP EliteDesk 800G2 Desktop Tower Computer Bundle with 24"" Monitor, Intel Core i5, 16GB RAM, 500GB SSD, DVD-ROM, Windows 10 Professional, Black (Refurbished)",198.01,3.8
"Apple MacBook Air 13.3 inch Laptop - Space Gray, M1 Chip, 8GB RAM, 256GB storage",699.00,4.7
HP 15.6 inch Laptop Intel Processor N200 4GB RAM 128GB UFS Scarlet Red (12-mo. Microsoft 365 included),219.00,4
HP Stream 14 inch Laptop Intel Processor N4102 4GB RAM 64GB eMMC Pink (12-mo. Microsoft 365 included),199.00,3.8
"Samsung Chromebook 4, 11.6"", 4GB, 64GB HD Laptop Computer, Platinum Titan",159.00,4.2
HP Slim Desktop Intel Processor J4025 8GB RAM 256GB SSD Dark Black,357.00,4.5
"Pre-Owned DELL Optiplex 7010 Tower Computer PC, Intel Quad-Core i5, 2TB HDD, 16GB DDR3 RAM, Windows 10 Pro, DVD, WIFI, 22in Monitor, USB Keyboard and Mouse (Refurbished: Like New)",136.00,3.3
